PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
39,c,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
40,e,0.1,CIV,70,0,0,100,70,100,100,11,-,0,0,0,0,-
41,f,0.1,CIV,0,0,0,100,100,100,100,0,-,100,0,0,0,True
42,b,0.1,CIV,100,0,0,100,100,100,100,64,-,0,0,0,64,True
43,9,0.1,CIV,100,0,0,100,28,100,100,0,-,0,0,0,37,-
44,0,0.1,CIV,55,0,0,100,55,100,100,0,-,0,0,0,0,-
45,e,0.1,CIV,100,0,58,100,100,100,100,42,-,0,0,0,0,True
46,8,0.1,CIV,50,0,0,100,100,50,42,0,-,0,0,0,100,-
47,3,0.1,CIV,75,0,0,100,100,75,100,8,-,0,0,0,0,-
48,d,0.1,CIV,0,0,0,33,100,0,0,0,-,0,0,0,0,-
49,c,0.1,CIV,0,0,0,100,100,100,100,0,-,100,0,0,0,True
50,9,0.1,CIV,25,0,0,100,100,83,100,25,-,0,0,0,100,-
51,e,0.1,CIV,92,0,0,100,100,0,69,0,-,0,0,0,0,-
52,d,0.1,CIV,100,0,7,100,100,100,35,93,-,0,0,0,100,True
53,8,0.1,CIV,28,0,0,100,100,28,7,0,-,0,0,0,100,-
54,f,0.1,CIV,100,0,14,100,7,100,100,86,-,0,0,0,100,True
55,7,0.1,CIV,100,0,0,100,100,100,100,36,-,0,0,0,86,True
56,4,0.1,CIV,0,0,0,29,100,0,0,0,-,0,0,0,0,-
57,8,0.1,CIV,0,0,0,7,0,0,14,0,-,0,0,0,0,-
58,0,0.1,CIV,0,0,0,100,86,0,0,0,-,0,0,0,0,-
59,7,0.1,CIV,100,0,67,100,100,100,100,33,-,0,0,0,0,True
60,a,0.1,CIV,0,0,0,100,100,0,100,0,-,0,0,0,0,-
61,e,0.1,CIV,87,0,0,100,100,100,93,73,-,0,0,0,0,-
62,f,0.1,CIV,100,0,0,100,100,67,40,0,-,0,0,0,0,-
63,e,0.1,CIV,100,0,0,100,100,100,93,53,-,0,0,0,60,True
64,9,0.1,CIV,100,0,33,100,100,100,100,67,-,0,0,0,0,True
65,0,0.1,CIV,27,0,0,100,33,27,100,0,-,0,0,0,100,-
66,8,0.2,CIV,0,0,0,100,100,0,82,0,-,0,0,0,0,True
67,7,0.2,CIV,0,0,0,100,100,6,100,0,-,0,0,0,0,-
68,c,0.2,CIV,100,0,0,100,100,100,100,100,-,0,0,0,100,True
69,1,0.2,CIV,47,0,0,100,100,12,88,0,-,0,0,0,0,True
70,2,0.2,CIV,0,0,0,35,100,0,100,35,-,0,0,0,0,-
71,b,0.2,CIV,50,0,0,100,83,67,50,50,-,0,0,0,100,-
72,6,0.2,CIV,100,0,11,100,100,100,100,89,-,0,0,0,94,-
73,0,0.2,CIV,100,0,0,100,100,100,100,61,-,0,0,0,0,True
74,9,0.2,CIV,0,0,0,100,6,50,0,0,-,0,0,0,94,-
75,3,0.2,CIV,100,0,0,100,100,100,100,0,-,0,0,0,100,-
76,0,0.2,CIV,0,0,0,0,100,0,100,44,-,0,0,0,0,-
77,a,0.2,CIV,32,0,0,84,74,42,10,0,-,0,0,0,0,-
78,8,0.2,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,-
79,9,0.2,CIV,45,0,0,100,45,100,95,70,-,0,0,0,100,-
80,b,0.2,CIV,25,0,0,100,25,100,100,30,-,0,0,0,0,True
81,f,0.2,CIV,75,0,0,100,90,55,100,0,-,0,0,0,0,-
82,b,0.2,CIV,95,0,0,62,100,95,100,24,-,0,0,0,0,-
83,a,0.2,CIV,14,0,0,100,100,0,47,0,-,0,0,0,0,-
84,2,0.2,CIV,86,0,0,100,100,86,100,0,-,0,0,0,0,-
85,4,0.2,CIV,100,0,57,100,100,100,71,43,-,0,0,0,100,-
86,4,0.2,CIV,100,0,0,100,100,100,100,67,-,0,0,0,0,-
87,e,0.2,CIV,100,0,100,100,100,100,100,0,-,0,0,0,0,-
