PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
104,5b5ef679187ad307dfd714e4d9d7b621e7d73f3156c0c220e60f04edc799fe99,0.1,CIV,00000000000000000995,100,0,0,100,100,100,100,100,-,0,0,0,0,-
105,1db38695fd56e657e3a27ab1c1e987b3c1cfddb8b87c5b8fcebf3a27fd5513f7,0.1,CIV,000000000000000009c6,100,0,21,100,0,85,100,79,-,0,0,0,0,-
106,5560409ab7e5d257a5bc79c8b801f3a3664a5de717d118d1600be57a9ec105c7,0.1,CIV,00000000000000000cd1,93,0,43,100,64,93,100,57,-,0,0,0,7,-
107,7270a60459b48881e0a7ed4911f74a68c94c8f8f133adc51b169b87f77df737b,0.1,CIV,00000000000000000e9b,100,0,14,100,99,100,100,86,-,0,0,0,28,-
108,52e50e5d9bde26c69f9060726a313b45980d472fb5ca54c3e762853f6646ae54,0.1,CIV,0000000000000000132a,100,0,21,100,85,100,100,64,-,0,0,0,0,-
109,d5158f8f0b220d33d15bf1b0fa410f95cd4b10ea4587e20cb394d2c59b9a8c94,0.1,CIV,000000000000000014f9,100,0,0,100,86,100,100,86,-,0,0,0,0,-
110,8b6af669b3df14a070154aec5ae42a0baa1c151d45a0334677232c1ec34124ab,0.1,CIV,00000000000000000003,100,0,100,100,100,100,100,0,-,0,0,0,0,-
111,721b7a2e3194c18cf4954ecdd003b2401aeb9a5832d778eb7c383935f7d3eb25,0.1,CIV,00000000000000000162,100,0,27,100,80,100,73,73,-,0,0,0,100,-
112,01f4dc5b762a651ff85ff7ffb7ab9b4ba82d0541625c7619407f6022b1ee8d2d,0.1,CIV,00000000000000000327,0,0,0,100,74,0,93,13,-,0,0,0,93,-
113,071a7c4da89f1ff9fa310defc645b031aad13e5c18940315b6b86fddb4701601,0.1,CIV,00000000000000000636,100,0,87,100,53,100,100,13,-,0,0,0,100,-
114,87527f0ad7f7765be7de731bf70e805f6946451a6bff1c0556b4ea35aa85a8c9,0.1,CIV,00000000000000000638,0,0,0,100,0,0,100,100,-,0,0,0,100,-
115,d8221a00a07313b7f3e39a2a47b3cc4886c44e1358687a18f8b8c9efb75e8d09,0.1,CIV,0000000000000000083b,100,0,60,100,54,100,100,40,-,0,0,0,100,-
116,743c754c30fbeba42df4fa67af9b410bb2199cdfff7b2604a54f34e8a122c4cf,0.1,CIV,00000000000000000908,100,0,80,100,100,100,100,20,-,0,0,0,0,-
117,86f05c4960cb7a561049b545b19e31036bc45e332c9930987ded2ba1f3d1c7f3,0.1,CIV,0000000000000000090e,100,0,100,100,100,100,100,0,-,0,0,0,7,-
118,ade1243d3d5865bae7984e7e539fc8c049a39cc3ab72e7a91a678dbf21cd27c0,0.1,CIV,00000000000000000ad7,93,0,0,100,100,100,100,93,-,0,0,0,0,True
119,bd15913593021582844430261c6a5ebf1738c70de7f8db06e96e6c691df18bb8,0.1,CIV,00000000000000000bca,13,0,0,100,67,67,100,40,-,0,0,0,7,-
120,15f9d5d2930fb186208e1475405e49fcffac3ba7372e8373d8c759f557a3145a,0.1,CIV,000000000000000014ca,100,0,20,100,100,100,100,80,-,0,0,0,0,-
121,57549316ae526c7c4b86cefed8f1069bd56b7957244303e9511e384f9df3afaf,0.2,CIV,0000000000000000001d,0,0,0,44,62,0,0,100,-,0,0,0,0,-
122,b4b6cbbacf225eb37b7ea77c2e36ded1f5ecce59f8c97879f73899225af046c5,0.2,CIV,0000000000000000005e,0,0,0,87,75,37,50,87,-,0,0,0,0,-
123,4de4aa50484037f9a767b17415bd2bab62f73e591d13c8a728c4d5577993f253,0.2,CIV,000000000000000000e9,94,0,50,100,0,94,100,50,-,0,0,0,0,-
124,e570f7ae066cebce7d6a96565b2fa9dbfb97d46fbbe3a310fb92f02909808ebc,0.2,CIV,0000000000000000021c,0,0,0,100,0,0,100,100,-,0,0,0,0,-
125,973d622d9ce6605217b524abe0cd37518b26b59080fa2821d8accf71ffde02a4,0.2,CIV,0000000000000000036d,100,0,88,100,100,100,100,6,-,0,0,0,0,-
126,db1c365090a60d5749533f4bfa324ea41a4f153df4b790a6a276b0fe3c00a1c8,0.2,CIV,0000000000000000046a,100,0,38,100,63,100,100,62,-,0,0,0,0,-
